ticker,proventos_12m,dt_ultimo_provento,vl_ultimo_provento,pagto_mês,data_com_mês,valor_mês,data_com_futura,valor_futuro,Ticker,2021,2022,2023,2024,2025,,,,,,2021,2022,2023,2024,2025,anos,PREÇO,YIELD,YIELD 12M,Data Pagamento,Data-com,Valor,Data-com Futura,Valor Futuro,Média + baixa,Mediana,Média,Dividendos 12 meses,Data ultimo provento,classe,valor por cota,,Data Pagamento,Data-com,Valor,Data-com-Futura,Valor-Futuro,,Data-com Estiva Fii,Data-Pagamento Estimativa FII,Valor estimativa FII,,TICKER,TEMPO DE APURAÇÃO,Setor,,TICKER,Data Com,Data Pagamento,Valor,<=investidor10 data-com futura,,Ticker,2020,2021,2022,2023,2024,2020,2021
BRAP4,"3,28",30/12/2025,"0,66",---,---,---,---,---,BRAP4,"6,7710","3,2716","2,4175","1,1089","3,2768",,,,,,"6,7710","3,2716","2,4175","1,1089","3,2768",5 Anos,"22,94","14,26%","14,30%",,,,,,"3,27","3,27","3,37","3,28",30/12/25,Acao,,,---,---,---,---,---,,,,,,BRAP4,5 anos,HOLDING,,BRAP4,----,----,----,,,BRAP4,"2,0034","11,2675","3,2716","3,0219","2,2914","2,00","11,27"
ITSA4,"1,76",02/01/2026,"0,02",02/01/26,28/11/25,"0,01955",---,---,ITSA4,,,"0,3810","0,3071","0,5271",,,,,,,,"0,3810","0,3071","0,5271",3 Anos,"13,92","2,74%","12,64%",,,,,,"0,38","0,38","0,41","1,76",02/01/26,Acao,,,02/01/26,28/11/25,"0,0196",---,---,,,,,,ITSA4,5 anos,HOLDING,,ITSA4,29/05/2026,01/07/2026,"0,02060570",,,ITSA4,"0,6451","0,3942","0,6140","0,5847","0,6657","0,65","0,39"
FESA4,"0,73",05/12/2025,"0,22",---,---,---,---,---,FESA4,"0,2098","1,0227","0,3474","0,4732","0,7297",,,,,,"0,2098","1,0227","0,3474","0,4732","0,7297",5 Anos,"7,69","6,15%","9,49%",,,,,,"0,47","0,47","0,56","0,73",05/12/25,Acao,,,---,---,---,---,---,,,,,,FESA4,5 anos,METALURGICO,,FESA4,----,----,----,,,FESA4,"0,2279","0,2098","1,3611","0,6851","0,5262","0,23","0,21"
CMIN3,"0,41",19/11/2025,"0,08",---,---,---,---,---,CMIN3,"0,4684","0,4594","0,7769","0,6241","0,4056",,,,,,"0,4684","0,4594","0,7769","0,6241","0,4056",5 Anos,"4,67","10,03%","8,78%",,,,,,"0,47","0,47","0,55","0,41",19/11/25,Acao,,,---,---,---,---,---,,,,,,CMIN3,5 anos,MINERACAO,,CMIN3,----,----,----,,,CMIN3,,"0,4684","0,9211","0,7769","0,7391",,"0,47"
VALE3,"7,62",07/01/2026,"1,24",07/01/26,11/12/25,"1,244",---,---,VALE3,"11,6231","7,5833","3,7461","2,6143","7,6190",,,,,,"11,6231","7,5833","3,7461","2,6143","7,6190",5 Anos,"81,18","9,34%","9,39%",,,,,,"7,58","7,58","6,64","7,62",07/01/26,Acao,,,07/01/26,11/12/25,"1,2440",---,---,,,,,,VALE3,5 anos,MINERACAO,,VALE3,----,----,----,,,VALE3,"2,4075","14,6486","7,5833","6,0778","5,3529","2,41","14,65"
KLBN11,"1,70",19/11/2025,"0,26",---,---,---,---,---,KLBN11,"0,0929","1,5091","0,4441","1,1593","1,4237",,,,,,"0,0929","1,5091","0,4441","1,1593","1,4237",5 Anos,"17,48","6,63%","9,73%",,,,,,"1,16","1,16","0,93","1,70",19/11/25,Acao,,,---,---,---,---,---,,,,,,KLBN11,5 anos,PAPEL/ CELULOSE,,KLBN11,----,----,----,,,KLBN11,"0,0218","0,3660","1,5091","1,3541","1,3715","0,02","0,37"
KLBN4,"0,34",19/11/2025,"0,05",---,---,---,---,---,KLBN4,"0,0186","0,3018","0,0888","0,2319","0,2847",,,,,,"0,0186","0,3018","0,0888","0,2319","0,2847",5 Anos,"3,57","6,50%","9,52%",,,,,,"0,23","0,23","0,19","0,34",19/11/25,Acao,,,---,---,---,---,---,,,,,,KLBN4,5 anos,PAPEL/ CELULOSE,,KLBN4,----,----,----,,,KLBN4,"0,0044","0,0732","0,3018","0,2708","0,2743","0,00","0,07"
PETR4,"3,27",22/12/2025,"0,20",---,---,---,---,---,PETR4,,,,"2,8799","2,3491",,,,,,,,,"2,8799","2,3491",2 Anos,"49,08","5,33%","6,66%",,,,,,"2,61","2,61","2,61","3,27",22/12/25,Acao,,,---,---,---,---,---,,,,,,PETR4,5 anos,PETROLEO,,PETR4,----,----,----,,,PETR4,,"5,6478","16,6575","7,1984","7,7760",,"5,65"
PRIO3,"0,00",0.0,0,---,---,---,---,---,PRIO3,,,"0,0726",,,,,,,,,,"0,0726",,,1 Anos,"101,10","0,07%","0,00%",,,,,,"0,07","0,07","0,07",,0.0,Acao,,,---,---,---,---,---,,,,,,PRIO3,5 anos,PETROLEO,,PRIO3,----,----,----,,,PRIO3,,,,"0,0726",,,
UNIP6,"12,48",16/12/2025,"6,03",---,---,---,---,---,UNIP6,"10,5213","13,9540","3,4801","2,7395","12,4757",,,,,,"10,5213","13,9540","3,4801","2,7395","12,4757",5 Anos,"62,64","16,80%","19,92%",,,,,,"10,52","10,52","8,63","12,48",16/12/25,Acao,,,---,---,---,---,---,,,,,,UNIP6,5 anos,QUIMICO,,UNIP6,----,----,----,,,UNIP6,"1,2209","15,4446","13,9540","3,4801","4,2225","1,22","15,44"
